DATE TIME OPEN HIGH LOW CLOSE VOL
221006 120000 1072.6500000 1074.3000000 1060.0000000 1064.4900000 65848705
221006 130000 1064.5200000 1064.7900000 1054.6500000 1059.0600000 61507603
221006 140000 1059.0200000 1065.1600000 1056.0600000 1062.9900000 46232488
221006 150000 1062.9400000 1063.0800000 1054.5300000 1054.5600000 30752619
221006 160000 1054.6500000 1059.3700000 1050.2000000 1056.6200000 35634026
221006 170000 1056.7000000 1057.8600000 1047.4400000 1048.6900000 41425789
221006 180000 1048.3400000 1049.2000000 1044.8200000 1044.8200000 32831745
221007 100000 1040.3500000 1040.8500000 1019.1900000 1023.2700000 147473717
221007 110000 1023.0300000 1024.1500000 1010.5900000 1011.8900000 63896247
221007 120000 1011.9500000 1024.8500000 1009.8800000 1024.0300000 74355526
221007 130000 1024.1300000 1024.8100000 1020.6800000 1024.4800000 41486155
221007 140000 1024.4900000 1026.6200000 1022.2200000 1024.2600000 36359871
221007 150000 1024.2400000 1028.4700000 1014.0600000 1014.1300000 44680068
221007 160000 1014.1800000 1021.0900000 1005.1200000 1005.2100000 80702441
221007 170000 1005.0600000 1009.7300000 998.6100000 1003.0800000 104127247
221007 180000 1002.9100000 1010.4600000 1000.5900000 1005.0400000 86644501
221010 100000 912.4700000 948.3400000 908.2900000 943.3300000 315187777
221010 110000 943.6500000 958.3300000 941.2800000 946.8100000 155536744
221010 120000 946.6700000 949.0000000 936.3000000 945.1500000 74917686
221010 130000 945.1700000 956.2300000 941.6100000 951.4900000 64746628
221010 140000 951.7200000 954.6900000 943.5000000 946.9600000 52166753
221010 150000 947.1100000 955.9900000 941.7000000 955.7800000 65807417
221010 160000 955.4300000 964.2500000 953.0400000 958.0100000 90869033
221010 170000 958.2700000 962.2900000 952.6400000 962.2400000 51613583
221010 180000 962.0900000 963.8800000 960.1200000 963.8800000 37456735
221011 100000 954.6000000 961.5100000 943.4400000 946.0800000 143006544
221011 110000 945.8700000 955.8500000 942.0600000 954.3400000 66130231
221011 120000 954.4700000 960.6300000 952.4300000 958.2700000 70680772
221011 130000 958.1900000 960.5800000 955.4000000 958.9300000 39462361
221011 140000 959.0300000 968.9000000 959.0200000 965.4600000 39163140
221011 150000 965.9200000 971.1900000 960.1600000 960.7200000 38617150
221011 160000 960.7500000 961.3600000 955.3400000 955.4300000 35928067
221011 170000 955.4000000 963.0100000 949.1300000 962.9100000 47452941
221011 180000 963.0000000 967.0900000 959.3300000 964.6700000 31454400
221012 100000 963.6200000 972.3400000 953.9900000 966.8900000 102284938
221012 110000 966.9500000 970.4400000 955.9300000 958.6100000 76391153
221012 120000 958.4400000 964.7000000 956.2900000 961.3900000 34619440
221012 130000 961.3600000 970.9500000 959.9800000 967.1600000 34650816
221012 140000 966.9100000 976.4400000 966.4600000 968.9800000 64278466
221012 150000 968.8500000 972.5700000 966.6100000 967.3500000 35525516
221012 160000 967.9600000 970.3100000 964.8500000 966.0700000 27169961
221012 170000 965.8700000 970.4200000 965.7100000 966.3400000 26463342
221012 180000 966.4700000 966.4700000 953.8900000 954.5300000 30073819
221013 100000 964.2800000 973.7300000 960.1600000 972.1200000 93483924
221013 110000 972.0900000 981.2900000 967.1500000 980.9300000 68891956
221013 120000 981.1300000 987.2500000 976.3100000 977.7200000 38741843
221013 130000 977.7300000 978.9300000 972.4400000 976.4500000 24257191
221013 140000 976.5600000 978.9600000 971.9300000 973.7700000 25654387
221013 150000 973.8900000 980.3800000 964.0100000 970.1000000 51276849
221013 160000 969.8900000 974.2100000 966.9800000 971.4600000 36376331
